,pretty_name,url_repository,original_file_name,new_name,raw_file_size,url_description,discarded,y,header,foot,col_start,col_end,task,sep,encoding,comment
0,Servo,https://archive.ics.uci.edu/ml/machine-learning-databases/servo/,servo.data,Servoservo.data,3186.0,https://archive.ics.uci.edu/ml/datasets/Servo,0,-1,0,-1,0,-1,R,,,
1,Concrete Slump Test,https://archive.ics.uci.edu/ml/machine-learning-databases/concrete/slump/,slump_test.data,Concrete Slump Testslump_test.data,4758.0,https://archive.ics.uci.edu/ml/datasets/Concrete+Slump+Test,0,-1;-2;-3,1,-1,1,-1,R,,,
2,Computer Hardware,https://archive.ics.uci.edu/ml/machine-learning-databases/cpu-performance/,machine.data,Computer Hardwaremachine.data,8726.0,https://archive.ics.uci.edu/ml/datasets/Computer+Hardware,0,-1,0,-1,0,-1,R,,,
3,Yacht Hydrodynamics,https://archive.ics.uci.edu/ml/machine-learning-databases/00243/,yacht_hydrodynamics.data,Yacht Hydrodynamicsyacht_hydrodynamics.data,11487.0,https://archive.ics.uci.edu/ml/datasets/Yacht+Hydrodynamics,0,-1,1,-2,2,-1,R, ,,
4,QSAR aquatic toxicity,https://archive.ics.uci.edu/ml/machine-learning-databases/00505/,qsar_aquatic_toxicity.csv,QSAR aquatic toxicityqsar_aquatic_toxicity.csv,22903.0,https://archive.ics.uci.edu/ml/datasets/QSAR+aquatic+toxicity,0,-1,0,-1,0,-1,R,;,,
5,QSAR fish toxicity,https://archive.ics.uci.edu/ml/machine-learning-databases/00504/,qsar_fish_toxicity.csv,QSAR fish toxicityqsar_fish_toxicity.csv,31204.0,https://archive.ics.uci.edu/ml/datasets/QSAR+fish+toxicity,0,-1,0,-1,0,-1,R,;,,
6,Optical Interconnection Network ,https://archive.ics.uci.edu/ml/machine-learning-databases/00449/,optical_interconnection_network.csv,Optical Interconnection Network optical_interconnection_network.csv,52644.0,https://archive.ics.uci.edu/ml/datasets/Optical+Interconnection+Network+,1,7;8;5,1,-1,0,9,R,;,,
7,QSAR Bioconcentration classes dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00510/,Grisoni_et_al_2016_EnvInt88.csv,QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv,66499.0,https://archive.ics.uci.edu/ml/datasets/QSAR+Bioconcentration+classes+dataset,0,-1,1,-1,1,-1,R,,,
8,wiki4HE,https://archive.ics.uci.edu/ml/machine-learning-databases/00334/,wiki4HE.csv,wiki4HEwiki4HE.csv,99358.0,https://archive.ics.uci.edu/ml/datasets/wiki4HE,1,-10;-11,1,-1,0,-1,R,;,,
9,Abalone,https://archive.ics.uci.edu/ml/machine-learning-databases/abalone/,abalone.data,Abaloneabalone.data,191873.0,https://archive.ics.uci.edu/ml/datasets/Abalone,0,-1,0,-1,0,-1,R,,,
10,Seoul Bike Sharing Demand,https://archive.ics.uci.edu/ml/machine-learning-databases/00560/,SeoulBikeData.csv,Seoul Bike Sharing DemandSeoulBikeData.csv,604166.0,https://archive.ics.uci.edu/ml/datasets/Seoul+Bike+Sharing+Demand,0,1,1,-1,1,-1,R,,latin-1,
11,Communities and Crime,https://archive.ics.uci.edu/ml/machine-learning-databases/communities/,communities.data,Communities and Crimecommunities.data,1102815.0,https://archive.ics.uci.edu/ml/datasets/Communities+and+Crime,0,-1,0,-1,5,-1,R,,,
12,Beijing PM2.5 Data,https://archive.ics.uci.edu/ml/machine-learning-databases/00381/,PRSA_data_2010.1.1-2014.12.31.csv,Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv,2010494.0,https://archive.ics.uci.edu/ml/datasets/Beijing+PM2.5+Data,0,5,1,-1,1,-1,R,,,
13,Electrical Grid Stability Simulated Data ,https://archive.ics.uci.edu/ml/machine-learning-databases/00471/,Data_for_UCI_named.csv,Electrical Grid Stability Simulated Data Data_for_UCI_named.csv,2417871.0,https://archive.ics.uci.edu/ml/datasets/Electrical+Grid+Stability+Simulated+Data+,0,-2,1,-1,0,-1,R,,,
14,Physicochemical Properties of Protein Tertiary Structure,https://archive.ics.uci.edu/ml/machine-learning-databases/00265/,CASP.csv,Physicochemical Properties of Protein Tertiary StructureCASP.csv,3528710.0,https://archive.ics.uci.edu/ml/datasets/Physicochemical+Properties+of+Protein+Tertiary+Structure,0,6,1,-1,0,-1,R,,,
15,Appliances energy prediction,https://archive.ics.uci.edu/ml/machine-learning-databases/00374/,energydata_complete.csv,Appliances energy predictionenergydata_complete.csv,11979363.0,https://archive.ics.uci.edu/ml/datasets/Appliances+energy+prediction,0,2,1,-1,1,-3,R,,,
