dataset_name,adacapnetselu_bagging,adacapnetglu_bagging,regularnetselu_bagging,regularnetglu_bagging,regularnetfast_bagging,CAT,adacapnetselu,xgb_sklearn_bagging,CAT_bagging,adacapnetglu,regularnetselu,xgb_sklearn,regularnetglu,regularnetfast,adacapnetfast_bagging,XGBoost_bagging,XRF_bagging,XRF,XGBoost,MARS_bagging,LGBM,MARS,LGBM_bagging,Lasso,Enet,Lasso_bagging,Enet_bagging,adacapnetfast,Ridge,Ridge_bagging,Kernel_bagging,Kernel
Abaloneabalone.data_task_R_target_-1,0.5974311890749389,0.6013756802275365,0.5991267426622389,0.5949013529072373,0.591644648149094,0.5380042284926158,0.5758567531956114,0.5609847984198795,0.5703753217472612,0.5664593240244545,0.5716959714404904,0.5380434817501637,0.5674772670330309,0.5657755278641797,0.5746032902416708,0.5349265917995703,0.558596027989146,0.5283585145865908,0.49501415417870476,0.561232640644296,0.5287661209150782,0.5464235481148458,0.5495777397770704,0.5201833924989866,0.5203025655265225,0.5391679757567239,0.5394645096686241,0.5364816410844976,0.5200508164822254,0.5392319881368186,0.5392742861437396,0.5207654202675938
Computer Hardwaremachine.data_task_R_target_-1,0.9993455833285236,0.9995599394621666,0.999283263728496,0.999255182086646,0.9980036267642972,0.9788234913202238,0.9987271569142095,0.9831795031543156,0.9893025144117046,0.9981497873133257,0.9985648220173804,0.9805016753859584,0.998591561040867,0.9935473483291135,0.9826693552659876,0.9704778465381066,0.9923127195522506,0.9847111772455811,0.9704995101764513,0.9730092114229638,0.9666153837625411,0.970233503163431,0.9743978760582148,0.943623451507559,0.9437166098800981,0.9453656843344908,0.9453922430068368,0.9611065413351481,0.9450785586577226,0.9453547734983389,0.945356056499248,0.9456787001150303
Concrete Slump Testslump_test.data_task_R_target_-1,0.9888574576008228,0.9947063591159964,0.9849847443123992,0.987878360344547,0.9660003406957136,0.8137430053252022,0.9889843288656269,0.8804727719780554,0.8602291232316135,0.9888973145750821,0.9838591829111885,0.821527304864557,0.9785518356397255,0.9603680141320593,0.9389818745253224,0.9012676560373412,0.8681078240983817,0.8787315156263235,0.7595038385911852,0.9374256307768599,0.7756894911798594,0.9384821021414765,0.8310637727581889,0.896537457928708,0.8975611255865399,0.8572366950302435,0.8551175794359083,0.9296316392738694,0.9004053715544378,0.8662672889006656,0.866390111242078,0.9013650564141222
Concrete Slump Testslump_test.data_task_R_target_-2,0.9248062779470024,0.9249927542858146,0.9277879267750596,0.9253360387434979,0.9251513092935174,0.8545015703653605,0.9012530394475735,0.8884517245440865,0.8843881678547812,0.8990805190500797,0.9016143114787759,0.8781982667857555,0.8584386726314396,0.8609301656901872,0.9193439792967264,0.8846936252247517,0.9095211480078056,0.8868979523295379,0.8578911780481471,0.9218105647004026,0.8334742324855297,0.8959414320422094,0.7920370360666077,0.8906934515537419,0.893100595405578,0.9184945827162618,0.920746273930798,0.8555078506275559,0.8964133014758126,0.9194805540501936,0.9226669107141467,0.8995950173253654
Concrete Slump Testslump_test.data_task_R_target_-3,0.8483300655497555,0.8085538832292263,0.8335883221277613,0.7654577570551491,0.7549452337740776,0.8291440329276487,0.8647875476852847,0.8561118556942747,0.7205075349658007,0.8282155701719909,0.8321727933913113,0.8365627183814311,0.812870521844553,0.8048354939832375,0.7346874968545201,0.8718545979153749,0.8049703294970534,0.8596644729687244,0.8450510605238115,0.9040054462008908,0.7396855741811196,0.8518451508768653,0.641912723728405,0.8648437135966809,0.8640981813051507,0.8451423562923575,0.8427389759495802,0.7839356416762249,0.8643235887547606,0.8481481822674026,0.8693858733022117,0.8709564122154057
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,0.9811386299486036,0.9776886200701894,0.9822805389933664,0.9773005117645216,0.976133205733818,0.9558833339128265,0.9358271614234231,0.9699289586687858,0.9889161426852294,0.9358042657207213,0.9345427352167605,0.8809605892312244,0.9439948341240914,0.9358014316892336,0.9555396990700961,0.9711443072858872,0.9783407573561039,0.9258963742218066,0.9150337559539381,0.9249044167656804,0.8890166088499629,0.8415090704843067,0.9746209926908144,0.7825861033963426,0.7826337662886376,0.8533314367846889,0.8541197290625377,0.8823008072916425,0.7826343576151242,0.8557284828284435,0.8526808079035257,0.7835763214965091
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,0.9781095886398732,0.980474211074135,0.9808625222299762,0.9823339838388364,0.9848475014732556,0.9918552509871867,0.9865858040099139,0.9840634436479576,0.9882294229393956,0.983133934161622,0.9874121250177277,0.9871777818330567,0.9860616797062528,0.9880686650681069,0.9694511152106204,0.9842575036889644,0.9854432567165838,0.9885280076405154,0.9899997607695077,0.9430983668070644,0.9889756331118227,0.9465717083757086,0.9833045447207016,0.9485563029388695,0.9488747155925799,0.9603351967030026,0.9609895256012452,0.9521364335875433,0.9475434829007637,0.9608324660659776,0.9630479295818528,0.950892724533384
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,0.9642364238332832,0.9565483644640658,0.9580254318536808,0.9558287561495789,0.9509964315707228,0.9418373785779179,0.9383845453066793,0.9234861622875158,0.9537521755193444,0.9363424517632746,0.9342712576066743,0.9184535214587772,0.9261225401933981,0.9269390419877157,0.9373274501161164,0.9210396725181224,0.9313550473119399,0.9152930337873683,0.907031947741506,0.8828852199748419,0.9129210025609653,0.8813389853691543,0.9286687757904298,0.8752321882039678,0.8736859414657927,0.8982966731061609,0.8974349456359393,0.888021910618443,0.8739538460666292,0.8971364162473325,0.8975778258533306,0.876222036624557
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,0.8077646573997429,0.7969164728252405,0.8122317765051528,0.8139496288707622,0.8117928487338454,0.8192777361684993,0.7731526357831804,0.8329991553253902,0.8575776859702666,0.7785046984052479,0.7747178782047969,0.8052440011642545,0.7688983220816906,0.7669198802299176,0.7867276414354101,0.7809906855709017,0.8204395405171714,0.7948471635424488,0.7772719988995721,0.8164664478787528,0.8002604514234625,0.7881958610095512,0.8408412096254513,0.766162719516801,0.7663204088393509,0.7859905750198293,0.7855567413198132,0.7467464877020118,0.7654293323968866,0.7783479059032592,0.7797800504641177,0.7285676983503998
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,0.4650231405327725,0.4256788465337217,0.4619562934658046,0.3997393720378381,0.4334285229404372,0.5256746954402565,0.4547982290803443,0.410120171743936,0.4379444606196786,0.389494420731022,0.4594997765522213,0.4791179236656977,0.43191527959611287,0.4441683384626723,0.4266588833030938,0.3276741339550132,0.4637821101769751,0.5028170068602064,0.4261548345822779,0.3742301325518306,0.4819543790816708,0.36219469504009205,0.3884895456577001,0.44627436631454753,0.4409238626715366,0.4068741151769103,0.3983201955326791,0.36506827456692115,0.42118886855020066,0.3755658792858792,0.3743013752494938,0.3180684046984267
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,0.9138823342670634,0.9131116321670284,0.894043710916277,0.9164387456073256,0.9082165636155712,0.9235823288064393,0.913619778782118,0.8945256665501712,0.9192954238589566,0.9099290713719027,0.899262562796399,0.8990724707009313,0.9153346443021608,0.906112315072351,0.8846877057911111,0.9115780239199912,0.9180069791618484,0.9207728737087864,0.9172458159675161,0.7341102073627719,0.9192040037437804,0.7376704233375013,0.9142342283537002,0.7303913984758712,0.7303502936331199,0.7319609823882911,0.7319962069821461,0.8650866981705578,0.7299726057823913,0.7314255966231444,0.7316370439021873,0.7300618896678619
Servoservo.data_task_R_target_-1,0.8765475896439497,0.8876627214779728,0.8839706776164563,0.8842781728593518,0.8735524075453475,0.8927816747306487,0.878436617217219,0.8531942198537454,0.8582405459340019,0.8659410843731544,0.8665067508240417,0.88774577646984,0.8780192867048614,0.8677852519264639,0.8386081229706939,0.865835590109302,0.8449961773000134,0.8327997179926859,0.8861864278179385,0.8062861633915706,0.8443371573733934,0.8446137824427918,0.8405018405155358,0.8397447559785153,0.8399108994036453,0.8005042311985422,0.8005970328202718,0.8263709728930035,0.8405340201340279,0.8015331478993809,0.8015868434554226,0.8422654109152345
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,0.9772043900677037,0.9799539733917428,0.9758873056142199,0.976798128714229,0.9764179749880804,0.9825124647600282,0.9842372522095882,0.9763866886688264,0.977398448859744,0.9870850929217599,0.9839993082464374,0.9825064723033023,0.9849762866993992,0.9821369536685889,0.9573184504969396,0.9786377713864559,0.9682919681882464,0.973622071967762,0.9826799371236659,0.948982681566266,0.9624648522600783,0.9605811435104583,0.9497773857766656,0.962391726783878,0.9624796367758787,0.9490944829356099,0.9488766637406963,0.9545088199285686,0.9622020718750139,0.9489762437503628,0.9491164855014956,0.9624691433846901
wiki4HEwiki4HE.csv_task_R_target_-10,0.6864756471006469,0.7170373864915749,0.6614745664524242,0.7157139007925736,0.7032504490373485,0.7663596256656628,0.6553935673105672,0.7373146970735294,0.7440253137850825,0.6840838952349266,0.6524193107800526,0.7548521710746915,0.6786202509532975,0.6846453770845666,0.7059471162497829,0.6505243831884439,0.56205708,0.6191906543693462,0.7175112798257473,0.7257445493045009,0.7446871323362934,0.7430215517540152,0.7232109518626515,0.7744844960719346,0.7746818476758788,0.7542753143058277,0.7531851835836851,0.6541827621526863,0.658010601390741,0.6091758668550562,0.5888862138510156,0.5928943344310781
wiki4HEwiki4HE.csv_task_R_target_-11,0.69204195077082,0.6974297855768344,0.6913907250572664,0.6883872872895832,0.6861936152113001,0.7254086417188526,0.620630702109573,0.7091395078390179,0.7069118449710521,0.65781804447944,0.6169510213819469,0.7312020372459912,0.6455048539982351,0.6515216872730497,0.6792389166659994,0.6654332365143671,0.5956409003957416,0.5806929245443497,0.7009603148275708,0.6763514831201843,0.7032469676593344,0.6916609249891523,0.666521061893265,0.7293181647407233,0.7294008753239497,0.7072062410377449,0.7080277209138859,0.6033470961352835,0.6106811030787246,0.6265119259573881,0.6164028388414441,0.5654044099678159
