dataset_name,adacapnetglu_bagging,adacapnetselu_bagging,regularnetselu_bagging,regularnetglu_bagging,regularnetfast_bagging,adacapnetselu,CAT_bagging,adacapnetglu,regularnetselu,regularnetglu,CAT,regularnetfast,XRF_bagging,xgb_sklearn_bagging,XRF,xgb_sklearn,XGBoost,XGBoost_bagging,adacapnetfast_bagging,LGBM_bagging,LGBM,adacapnetfast,MARS_bagging,MARS,Enet,Lasso,Enet_bagging,Lasso_bagging,Ridge,Kernel,Kernel_bagging,Ridge_bagging
Abaloneabalone.data_task_R_target_-1,0.9585586423115835,0.9632895610384931,0.9612588119279687,0.9663115886705516,0.9701880419431381,0.9583595231123849,0.995133626008849,0.9687371971165005,0.9629293744892184,0.9673303892416157,1.0,0.9695589457968659,1.0086834843543786,1.0059504073891037,1.010375030712186,0.9999603793855609,1.0451458461020102,1.0353746932168713,0.9902249273236022,1.0189355489623704,1.0102637411859576,0.998121234434745,1.0056664170134924,0.9911304506191752,1.0192116484902245,1.0193228643838066,1.0303110165187934,1.030642666302387,1.019448262956212,1.0186929151118753,1.0305237787958577,1.0305710825388579
Computer Hardwaremachine.data_task_R_target_-1,0.20912175342000508,0.25501761299647174,0.2668840937283022,0.2720621060584707,0.44541400523031444,0.27678080926262555,1.0310597991215988,0.31725410687321964,0.29333527692067524,0.2890949585790661,1.0,0.6270555942868417,0.8740360823106073,1.2928924787770035,0.8502914378694528,1.0427720112113945,1.2411935497793032,1.7128408649088538,1.3123520647763567,1.59507459098033,1.429738206399934,1.0289423717578476,1.6377619830495627,1.3438614106917388,1.8827203670198074,1.8825509333949575,2.329539979640085,2.330106400709737,1.864337065812857,1.8535722295131567,2.330311701096455,2.330339057966131
Concrete Slump Testslump_test.data_task_R_target_-1,0.19412857026579877,0.28164650462042007,0.3269479240170937,0.29376016458171367,0.49198232519460056,0.24630463075960626,0.9975175904061395,0.24345101905491454,0.2952885933311705,0.33683821332225083,1.0,0.4581494322967795,0.9689954430747181,0.9224559617924292,0.8119406451355159,0.982624888029686,1.0965552450785838,0.8383819930946993,0.6590853357272353,1.0966640668644358,1.1025806258653907,0.5091922693672932,0.6674372763610666,0.5767344810094082,0.7459155850097381,0.7494971012424733,1.0155938556053719,1.0081392297411969,0.7349920468245719,0.731411300708689,0.9752849428712764,0.9757331105374655
Concrete Slump Testslump_test.data_task_R_target_-2,0.7801282777796409,0.7810974185529118,0.7654543898912716,0.7783410302333538,0.779303299601038,0.8197901593303796,0.9685355207852859,0.8381681705992184,0.8248649280398096,0.9798633177079671,1.0,0.9655087657903408,0.8568167578018928,0.9513620894856855,0.8665789781098452,0.9100302280276121,0.9715013596830795,0.9672551934197591,0.8089707273598159,1.2989947934939008,1.072271854545014,0.9828513237593308,0.7965048955305326,0.8565931723730664,0.8575042613231453,0.868059397813919,0.8019074641147853,0.8132192468759865,0.8452405241451839,0.830151074277088,0.7921311481948722,0.8082855225396935
Concrete Slump Testslump_test.data_task_R_target_-3,0.8268212388680162,0.7359326866722871,0.7708683995601167,0.9151638994886396,0.9354485799328897,0.88621000692315,0.9990181883424966,1.0237897701959011,0.9790498192448606,1.0725004635448858,1.0,1.1128659612870977,0.8345237225749729,0.716804707713447,0.8693938816373199,0.9589556563677123,0.924571291140366,0.6764564734763231,0.9733458951267352,1.130792157976174,1.2923706690471561,1.1233560943139898,0.5854794285520355,0.9265902163506106,0.9273932789966046,0.9247965027151949,0.7493744692079573,0.7436261722372658,0.9291912535576907,0.9025493848152826,0.6829413656304838,0.7363738213890413
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,1.38216263964848,1.2708156419179584,1.2317460762087693,1.394132227988052,1.4295290279937742,1.2935222281972851,0.9741849075010907,1.3023108143682471,1.3115399104524996,1.1680019775132844,1.0,1.2961094880180286,1.361813286793883,1.6046124872632543,1.2832499298851772,1.7239848833504698,1.3674969188515413,1.5718521233323226,1.9511116980385552,1.4741213941918647,1.6202941401683209,1.8868603135381925,2.5357307144366055,2.1450709014347877,2.62556351208517,2.6261506581994594,3.534225161342556,3.5437612310381006,2.6264747585750454,2.6226184918406092,3.5516126819229408,3.514683586703734
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,1.2579715032345649,1.3319670131596295,1.2453999892923169,1.1965636894358551,1.1081757268285983,1.2885056508236434,0.9767094406045044,1.4458144823164993,1.2446088248125984,1.3227022524607652,1.0,1.2257920336606432,1.0861720411638995,1.1364851083035947,1.1967701368995616,1.266490978325579,1.1050826491053733,1.129544403507714,1.5734907288029054,1.16323012619648,1.163142052133773,1.6789042197306685,2.1474787443193906,2.520789023439809,2.49297533785195,2.4960165435329964,1.7781038564930423,1.7929540538110729,2.540221909778376,2.436550883279923,1.7305569524981932,1.7816796607437217
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,0.9562070911779894,0.8674997648446864,0.9398142252722214,0.9640925137573011,1.0154598327098256,1.0388122460001328,0.9864942315570228,1.0585797545388367,1.0757610668742796,1.1376179199816456,1.0,1.1360108661883808,1.201858117360495,1.2688751401637004,1.1978569291165893,1.1829074754420392,1.2437312239492424,1.289001332960939,1.1483851776492693,1.2251485061550644,1.2000797240940062,1.3149176842472197,1.5698376818583486,1.4653255664753058,1.4963702763017697,1.488405551983192,1.4690906791453946,1.462906184350907,1.4957365848654474,1.483688946495826,1.468067050042061,1.4712271187040844
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,1.1751106196910506,1.1432942525500271,1.1299323714548328,1.1247517371390636,1.131252267835068,1.1205308593485812,0.9840800354409783,1.1094629435906511,1.1185833727446404,1.1357339008359884,1.0,1.1387201853346707,1.1049605078649827,1.0656160083969832,1.0681708869409035,1.0420391708736974,1.115679166232076,1.220317094739344,1.204227909069292,1.040295493491385,1.0509569068441547,1.182443525008373,1.1171182255096008,1.0858168850690828,1.1405047363807248,1.1407913650891894,1.2075290883155154,1.206307012045478,1.1425541384959303,1.223532374629447,1.2236852681784711,1.2276577833990454
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,1.0034828984429338,0.9685009872051861,0.9712730694532303,1.0258940202217643,0.996689591192923,1.0775619328799642,0.9927095170761958,1.1406133338875784,1.0727735598799475,1.103134349992398,1.0,1.0892280666371748,0.9696236926561468,1.0169845187472928,1.0251556714489598,1.0552189490828554,1.1064566231024038,1.0857316029686939,1.0026263480297786,1.0354628268529933,1.0504844835508722,1.1709948283021454,1.0474658980008211,1.1593204243756143,1.0996028346374704,1.0945035999465842,1.0271060480389662,1.019778867725291,1.1183375673627127,1.211230188642887,1.0474062703131959,1.04634735852896
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,1.0369305915714853,1.0323215474580012,1.1450705293952488,1.0168838337387571,1.065739406612754,1.0632959847671686,0.9993507623436155,1.0861686355171876,1.1483774316979172,1.0526970745036206,1.0,1.1084402819220962,1.007296468269867,1.1424633118562941,1.0189106435930677,1.149979770755982,1.040779204342861,1.046041647000411,1.1945564401236606,1.0302102518170442,1.0285775938921113,1.2507562722079872,1.8139265615952318,1.8546127677148925,1.8803629998090503,1.8802279295300388,1.821123245543752,1.8212429196317481,1.8817047576997639,1.8814083720620025,1.8223431186529078,1.8230609033048208
Servoservo.data_task_R_target_-1,0.8872986380281208,0.9301599851881731,0.9017616123958383,0.9005659173871948,0.941376056647666,1.098367468967107,0.9967445774586137,1.144406287233655,1.1608918929103176,1.1127210397023934,1.0,1.1588314905337822,1.0422671983030003,1.0143304037172929,1.2797130882248255,1.0221445724509481,1.0084710105978032,0.9696757350408226,1.0635274457838257,1.0572694992980025,1.2417596057311733,1.2480574030792,1.1651670294971477,1.2608703252427258,1.2704320602248058,1.2713078021846338,1.1821529597148805,1.1824280131710219,1.2670566481100622,1.2587994737745283,1.1792152821330772,1.1793748338937802
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,0.9322844790927434,0.9941683002826287,1.0224855370443742,1.0029881670675436,1.0111715702188435,1.017255027582515,0.9899275834588556,0.9218402104026934,1.0267534710612456,0.9924686041572125,1.0,1.0854886968613138,1.1725164526481877,1.0118421095527925,1.3829483683594739,1.061612758603117,1.039707548987256,0.9624043604443836,1.3603616855926228,1.4756520326159288,1.6233617156885007,1.2759509641631233,1.4872812968977485,1.6868542590744802,1.6220984305633153,1.628194167042555,1.4888258361061264,1.4856507595739088,1.6526343484442445,1.642293143584098,1.4853296582128517,1.4873751330835678
wiki4HEwiki4HE.csv_task_R_target_-10,1.048846903722924,1.1040359404512041,1.1472107896072194,1.051296899650632,1.0740947817493305,1.2135791840046213,0.9975762041606235,1.1649364271183296,1.2207425714042688,1.1740746815599137,1.0,1.1631298955408567,1.3048371899444577,1.010567806615158,1.2749325550373505,1.0238019833247056,1.099938854820754,1.16561737219193,1.0692033058145327,1.0373421445289952,1.0447491759925245,1.2113284705120635,1.0325835577073847,1.0485715953897392,0.9816959597304413,0.9817457436788514,0.9795648322794316,0.9773991692375159,1.210859977464335,1.3195346473655634,1.264237277015675,1.2326456802400647
wiki4HEwiki4HE.csv_task_R_target_-11,1.0048781464494165,1.0137855459220835,1.014856884307065,1.019783306733825,1.0233665155934484,1.1726667664601014,0.9890071891903417,1.1166408014985323,1.180202529007747,1.136937094016306,1.0,1.128305730030508,1.1616730801508985,0.9852414672846456,1.2343129414073184,0.9898261740163928,1.0419276090398593,1.056675681369014,1.0346444936791892,1.0549564213621723,1.0395534709988359,1.1946323762407638,1.0392909023373909,1.0607475323514008,0.993084861704039,0.9932312325960471,0.987122667827942,0.9885103540693068,1.1903884792639101,1.253930807439405,1.1314568791493604,1.116448473905933
